repo_chart_name,total_dependency_count
prometheus-community/kube-prometheus-stack,4
ingress-nginx/ingress-nginx,0
argo/argo-cd,0
prometheus-community/prometheus,4
bitnami/redis,1
grafana/grafana,0
bitnami/postgresql,1
k8s-dashboard/kubernetes-dashboard,1
traefik/traefik,0
grafana/loki,0
metrics-server/metrics-server,0
gitlab/gitlab,10
hashicorp/vault,0
bitnami/keycloak,2
jenkinsci/jenkins,0
harbor/harbor,0
bitnami/rabbitmq,1
bitnami/external-dns,1
bitnami/mysql,1
elastic/elasticsearch,0
bitnami/kafka,1
gitlab/gitlab-runner,0
aws/aws-load-balancer-controller,0
bitnami/mongodb,1
nextcloud/nextcloud,0
vmware-tanzu/velero,0
apache-airflow/airflow,1
external-secrets-operator/external-secrets,0
external-dns/external-dns,0
bitnami/minio,1
cluster-autoscaler/cluster-autoscaler,0
cilium/cilium,0
grafana/loki-stack,2
grafana/promtail,0
argo/argo-workflows,0
rancher-stable/rancher,0
fluent/fluent-bit,0
metallb/metallb,1
datadog/datadog,0
istio-official/istiod,0
sonarqube/sonarqube,1
bitnami/thanos,1
bitnami/wordpress,2
gitea/gitea,2
kyverno/kyverno,1
nfs-subdir-external-provisioner/nfs-subdir-external-provisioner,0
nginx/nginx-ingress,0
runix/pgadmin4,0
artifact-hub/artifact-hub,1
oauth2-proxy/oauth2-proxy,0
bitnami/mariadb,1
bitnami/nginx,1
bitnami-labs/sealed-secrets,0
elastic/kibana,0
mojo2600/pihole,0
hashicorp/consul,0
bitnami/metrics-server,1
kedacore/keda,0
sentry/sentry,7
bitnami/elasticsearch,1
elastic/eck-operator,1
prometheus-community/kube-state-metrics,0
goauthentik/authentik,1
argo/argocd-apps,0
descheduler/descheduler,0
argo/argo-rollouts,0
jaegertracing/jaeger,2
bitnami/postgresql-ha,1
istio-official/base,0
jupyterhub/jupyterhub,0
bitnami/redis-cluster,1
prometheus-community/prometheus-blackbox-exporter,0
kubeview/kubeview,0
airflow-helm/airflow,2
istio-official/gateway,0
kvaps/nfs-server-provisioner,0
pmint93/metabase,0
grafana/mimir-distributed,2
dex/dex,0
chartmuseum/chartmuseum,0
nats/nats,0
cloudnative-pg/cloudnative-pg,0
bitnami/metallb,1
stakater/reloader,0
renovate/renovate,1
bitnami/spark,1
codecentric/keycloak,1
elastic/logstash,0
crossplane/crossplane,0
twuni/docker-registry,0
argo/argocd-image-updater,0
prometheus-community/prometheus-node-exporter,0
falcosecurity/falco,0
uptime-kuma/uptime-kuma,0
aws/aws-node-termination-handler,0
kong/kong,0
prometheus-community/alertmanager,0
